BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,diff_in,diff_out
3,Brooklyn,47,BK88,Borough Park,39247.22803,54005019.0709,-452,-80
4,Queens,81,QN52,East Flushing,25843.36492,29454380.0135,-59,-67
4,Queens,81,QN48,Auburndale,32446.87875,34164217.6583,-19,-50
4,Queens,81,QN51,Murray Hill,33266.90473,52488277.2938,-193,-252
4,Queens,81,QN27,East Elmhurst,19816.71211,19726845.6323,-20,-6
2,Bronx,5,BX35,Morrisania-Melrose,27740.84567,16891753.4406,-116,-334
1,Manhattan,61,MN06,Manhattanville,17040.68548,10647077.4641,-434,-321
4,Queens,81,QN71,Old Astoria,19335.56709,15621238.579,-325,-213
4,Queens,81,QN46,Bayside-Bayside Hills,43014.80529,80797535.8655,-99,-125
3,Brooklyn,47,BK25,Homecrest,27514.02334,29991967.0019,-532,-12
2,Bronx,5,BX59,Westchester-Unionport,26557.40918,23945209.78,-52,-92
4,Queens,81,QN18,Rego Park,26675.17706,19941410.4582,-396,-18
1,Manhattan,61,MN17,Midtown-Midtown South,27035.73838,30192057.0848,-2999,-8
1,Manhattan,61,MN19,Turtle Bay-East Midtown,21638.78138,17397872.2552,-2478,-46
4,Queens,81,QN47,Ft. Totten-Bay Terrace-Clearview,39619.86152,46293660.1909,-122,-31
4,Queens,81,QN54,Richmond Hill,33791.571,50978895.7618,-85,-73
4,Queens,81,QN25,Corona,23870.15398,20080371.6536,-258,-109
4,Queens,81,QN55,South Ozone Park,36708.25335,82461495.5026,-41,-24
4,Queens,81,QN06,Jamaica Estates-Holliswood,35465.97494,42789975.854,-189,-44
3,Brooklyn,47,BK44,Madison,26237.25764,27379162.1695,-182,-63
3,Brooklyn,47,BK40,Windsor Terrace,19033.73564,14041656.2194,-228,-49
3,Brooklyn,47,BK95,Erasmus,18756.70203,14522603.5631,-239,-256
2,Bronx,5,BX33,Longwood,18982.12953,10732452.208,-48,-166
3,Brooklyn,47,BK69,Clinton Hill,23971.46582,20528197.1965,-1287,-11
2,Bronx,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,91013.19027,88590128.4487,-22,-84
4,Queens,81,QN49,Whitestone,56927.91492,69043734.9853,-8,-67
1,Manhattan,61,MN25,Battery Park City-Lower Manhattan,45693.09991,19054192.8835,-446,-15
4,Queens,81,QN26,North Corona,18431.05775,18000863.0675,-58,-202
3,Brooklyn,47,BK27,Bath Beach,22383.46464,20538596.7088,-141,-168
3,Brooklyn,47,BK28,Bensonhurst West,37137.16058,46666593.5736,-644,-84
3,Brooklyn,47,BK76,Greenpoint,29112.57774,35338829.7379,-1237,-277
5,Staten Island,85,SI54,Great Kills,66103.79845,89599706.0908,-4,-24
4,Queens,81,QN30,Maspeth,41265.64347,35633160.7726,-5,-41
3,Brooklyn,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,91048.34949,63342329.9721,-170,-113
4,Queens,81,QN35,Briarwood-Jamaica Hills,30081.93203,29408862.6204,-213,-298
4,Queens,81,QN63,Woodside,27872.18601,28245720.2731,-309,-257
2,Bronx,5,BX10,Pelham Bay-Country Club-City Island,138755.67301,40137499.0071,-27,-12
3,Brooklyn,47,BK34,Sunset Park East,25948.76781,27125857.5893,-524,-434
4,Queens,81,QN70,Astoria,32530.6028,39334607.6374,-2450,-106
3,Brooklyn,47,BK43,Midwood,27996.59061,35799574.1576,-957,-17
3,Brooklyn,47,BK26,Gravesend,39922.67417,31341950.2811,-8,-115
3,Brooklyn,47,BK29,Bensonhurst East,33920.67664,35776106.6224,-165,-47
3,Brooklyn,47,BK19,Brighton Beach,21057.41986,17179308.0854,-280,-54
3,Brooklyn,47,BK58,Flatlands,40635.27494,54341763.4195,-106,-12
1,Manhattan,61,MN32,Yorkville,17409.20979,13594803.1621,-5814,-50
3,Brooklyn,47,BK85,East New York (Pennsylvania Ave),24226.85157,19397526.5735,-25,-216
3,Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate,29580.75946,31643096.8151,-708,-522
3,Brooklyn,47,BK72,Williamsburg,16874.43385,11589988.1758,-15,-116
3,Brooklyn,47,BK75,Bedford,29992.9238,32629788.989,-396,-664
3,Brooklyn,47,BK81,Brownsville,27298.84924,32719366.0871,-138,-64
3,Brooklyn,47,BK35,Stuyvesant Heights,28239.08077,31406935.853,-567,-732
3,Brooklyn,47,BK79,Ocean Hill,22494.58209,20089914.3747,-157,-265
3,Brooklyn,47,BK61,Crown Heights North,35635.54355,51619074.7114,-2052,-783
1,Manhattan,61,MN21,Gramercy,12092.42275,7531310.60544,-1302,-134
3,Brooklyn,47,BK63,Crown Heights South,24192.45561,15989888.7361,-204,-365
3,Brooklyn,47,BK96,Rugby-Remsen Village,30957.85357,32706946.2313,-193,-251
2,Bronx,5,BX44,Williamsbridge-Olinville,27350.97412,36273564.1147,-399,-154
2,Bronx,5,BX03,Eastchester-Edenwald-Baychester,59165.0019,40256748.8675,-13,-23
2,Bronx,5,BX31,Allerton-Pelham Gardens,25467.11725,31693044.0824,-7,-58
5,Staten Island,85,SI37,Stapleton-Rosebank,56425.80665,46525264.5406,-112,-30
4,Queens,81,QN31,Hunters Point-Sunnyside-West Maspeth,74605.80436,102350778.823,-132,-1220
1,Manhattan,61,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45454.72301,37029727.5298,-2917,-116
3,Brooklyn,47,BK91,East Flatbush-Farragut,39201.03857,34360864.5746,-90,-147
5,Staten Island,85,SI07,Westerleigh,41648.78125,63294837.0454,-20,-13
4,Queens,81,QN45,Douglas Manor-Douglaston-Little Neck,45804.66731,68375195.7148,-2,-42
3,Brooklyn,47,BK78,Bushwick South,40735.74235,40169452.1314,-924,-509
3,Brooklyn,47,BK77,Bushwick North,26321.62691,24927927.1624,-1859,-286
4,Queens,81,QN20,Ridgewood,40608.51311,50495176.1536,-683,-375
4,Queens,81,QN44,Glen Oaks-Floral Park-New Hyde Park,33596.50714,45667199.8091,-5,-339
2,Bronx,5,BX41,Mount Hope,18937.24749,14716710.0806,-353,-320
3,Brooklyn,47,BK46,Ocean Parkway South,21975.99711,17782095.7121,-31,-103
4,Queens,81,QN22,Flushing,38364.00039,37864383.5321,-704,-8
5,Staten Island,85,SI22,West New Brighton-New Brighton-St. George,67959.43966,56054069.7923,-54,-167
1,Manhattan,61,MN27,Chinatown,20786.25514,14501868.0352,-1714,-43
5,Staten Island,85,SI36,Old Town-Dongan Hills-South Beach,41972.41462,67010310.0686,-25,-23
2,Bronx,5,BX22,North Riverdale-Fieldston-Riverdale,31853.05566,49045387.8719,-200,-418
2,Bronx,5,BX29,Spuyten Duyvil-Kingsbridge,27990.78816,23214112.7699,-366,-141
3,Brooklyn,47,BK42,Flatbush,38737.85325,45254807.7775,-1455,-84
2,Bronx,5,BX62,Woodlawn-Wakefield,38694.03954,39738769.4393,-72,-204
5,Staten Island,85,SI25,Oakwood-Oakwood Beach,44290.65332,55953705.7177,-9,-3
2,Bronx,5,BX30,Kingsbridge Heights,21315.33529,13166303.6713,-376,-18
2,Bronx,5,BX36,University Heights-Morris Heights,24306.95722,21252300.9774,-304,-155
2,Bronx,5,BX34,Melrose South-Mott Haven North,19587.88507,17271906.3021,-349,-46
4,Queens,81,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,114099.19733,99448890.3623,-32,-9
4,Queens,81,QN12,Hammels-Arverne-Edgemere,83820.08733,61904072.5852,-7,-9
2,Bronx,5,BX17,East Tremont,29632.19199,19257783.1699,-351,-26
2,Bronx,5,BX37,Van Nest-Morris Park-Westchester Square,42862.83917,36303229.1372,-20,-211
4,Queens,81,QN17,Forest Hills,36171.49511,57827640.3519,-3648,-691
4,Queens,81,QN60,Kew Gardens,21363.56142,20459660.4777,-228,-484
3,Brooklyn,47,BK68,Fort Greene,19825.52104,16482821.629,-479,-53
2,Bronx,5,BX01,Claremont-Bathgate,29972.77652,16451616.3432,-63,-120
1,Manhattan,61,MN34,East Harlem North,30603.20894,24494873.9858,-1862,-268
4,Queens,81,QN68,Queensbridge-Ravenswood-Long Island City,27067.65274,23317033.2559,-48,-147
2,Bronx,5,BX39,Mott Haven-Port Morris,35592.68952,41901529.8276,-518,-21
4,Queens,81,QN72,Steinway,42971.82823,57766862.3211,-544,-86
4,Queens,81,QN42,Oakland Gardens,42405.91272,51013693.7022,-129,-78
4,Queens,81,QN23,College Point,58675.25162,50559586.9315,-42,-11
2,Bronx,5,BX14,East Concourse-Concourse Village,27275.84915,18215530.3299,-104,-624
2,Bronx,5,BX49,Pelham Parkway,25817.60895,23031132.0885,-294,-45
